planned_start_time,actual_start_time,gtfs_ride_id
2026-09-06T03:40:00+00:00,2026-09-06T03:40:00+00:00,156079083.0
2026-09-06T04:10:00+00:00,2026-09-06T04:10:00+00:00,156079897.0
2026-09-06T04:40:00+00:00,2026-09-06T04:40:00+00:00,156082755.0
2026-09-06T05:10:00+00:00,2026-09-06T05:10:00+00:00,156122276.0
2026-09-06T06:10:00+00:00,,156079898.0
2026-09-06T07:10:00+00:00,2026-09-06T07:10:00+00:00,156076055.0
2026-09-06T08:10:00+00:00,2026-09-06T08:10:00+00:00,156076056.0
2026-09-06T09:10:00+00:00,2026-09-06T09:10:00+00:00,156082756.0
2026-09-06T10:10:00+00:00,2026-09-06T10:10:00+00:00,156076170.0
2026-09-06T11:10:00+00:00,2026-09-06T11:10:00+00:00,156079285.0
2026-09-06T12:10:00+00:00,2026-09-06T12:10:00+00:00,156122277.0
2026-09-06T13:10:00+00:00,2026-09-06T13:10:00+00:00,156076057.0
2026-09-06T14:10:00+00:00,2026-09-06T14:10:00+00:00,156076171.0
2026-09-06T15:10:00+00:00,2026-09-06T15:10:00+00:00,156080949.0
2026-09-06T16:10:00+00:00,2026-09-06T16:10:00+00:00,156122278.0
2026-09-06T17:10:00+00:00,2026-09-06T17:10:00+00:00,156079899.0
,2026-09-06T05:22:00+00:00,
,2026-09-06T10:45:00+00:00,
