planned_start_time,actual_start_time,gtfs_ride_id
2026-06-29T17:00:00+00:00,2026-06-29T17:00:00+00:00,148883599
2026-06-29T17:30:00+00:00,2026-06-29T17:30:00+00:00,148878865
2026-06-29T18:00:00+00:00,2026-06-29T18:00:00+00:00,148883948
2026-06-29T18:30:00+00:00,2026-06-29T18:30:00+00:00,148878866
2026-06-29T19:00:00+00:00,2026-06-29T19:00:00+00:00,148877061
2026-06-29T19:30:00+00:00,2026-06-29T19:30:00+00:00,148877062
2026-06-29T20:00:00+00:00,2026-06-29T20:00:00+00:00,148881764
2026-06-29T20:25:00+00:00,2026-06-29T20:25:00+00:00,148924908
2026-06-29T20:50:00+00:00,2026-06-29T20:50:00+00:00,148883949
