service_date,cluster,operator_ref,route_short_name,route_mkt,route_direction,route_alternative,exclusion_treatment,exclusion_name,status,selected_line_ref,csv_path,html_path,planned_rides,actual_rides,matched_rides,missing_actual_start,null_gtfs_ride_id_rate,error_type,error_message
2026-09-06,שרון חולון מרחבי,15,142,13142,2,#,normal,,ok,33279,data/output/reliability/line_reliability_2026-09-06_op_15_line_33279.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_33279.html,27.0,27.0,24.0,0.0,0.1111111111111111,,
2026-09-06,שרון חולון מרחבי,15,145,12145,1,#,normal,,ok,16192,data/output/reliability/line_reliability_2026-09-06_op_15_line_16192.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16192.html,10.0,10.0,9.0,0.0,0.1,,
2026-09-06,שרון חולון מרחבי,15,145,12145,1,1,normal,,ok,16193,data/output/reliability/line_reliability_2026-09-06_op_15_line_16193.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16193.html,4.0,4.0,4.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,145,12145,2,#,normal,,ok,16194,data/output/reliability/line_reliability_2026-09-06_op_15_line_16194.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16194.html,8.0,8.0,8.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,145,12145,2,1,normal,,ok,16195,data/output/reliability/line_reliability_2026-09-06_op_15_line_16195.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16195.html,4.0,4.0,4.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,178,12178,1,#,normal,,ok,36477,data/output/reliability/line_reliability_2026-09-06_op_15_line_36477.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_36477.html,29.0,28.0,25.0,1.0,0.10344827586206896,,
2026-09-06,שרון חולון מרחבי,15,178,12178,2,#,normal,,ok,36478,data/output/reliability/line_reliability_2026-09-06_op_15_line_36478.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_36478.html,21.0,21.0,21.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,21,59021,1,#,normal,,ok,23991,data/output/reliability/line_reliability_2026-09-06_op_15_line_23991.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_23991.html,41.0,41.0,40.0,0.0,0.024390243902439025,,
2026-09-06,שרון חולון מרחבי,15,21,59021,2,#,normal,,ok,23992,data/output/reliability/line_reliability_2026-09-06_op_15_line_23992.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_23992.html,37.0,37.0,35.0,0.0,0.05405405405405406,,
2026-09-06,שרון חולון מרחבי,15,213,15213,1,#,normal,,ok,17156,data/output/reliability/line_reliability_2026-09-06_op_15_line_17156.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_17156.html,12.0,12.0,12.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,213,15213,2,#,normal,,ok,17157,data/output/reliability/line_reliability_2026-09-06_op_15_line_17157.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_17157.html,12.0,12.0,12.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,22,46022,3,#,normal,,ok,41898,data/output/reliability/line_reliability_2026-09-06_op_15_line_41898.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_41898.html,41.0,41.0,41.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,222,27222,1,#,normal,,ok,28143,data/output/reliability/line_reliability_2026-09-06_op_15_line_28143.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_28143.html,20.0,20.0,19.0,0.0,0.05,,
2026-09-06,שרון חולון מרחבי,15,222,27222,2,#,normal,,ok,28144,data/output/reliability/line_reliability_2026-09-06_op_15_line_28144.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_28144.html,23.0,23.0,21.0,0.0,0.08695652173913043,,
2026-09-06,שרון חולון מרחבי,15,23,27023,1,#,normal,,ok,10857,data/output/reliability/line_reliability_2026-09-06_op_15_line_10857.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_10857.html,5.0,5.0,5.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,23,27023,2,#,normal,,ok,10858,data/output/reliability/line_reliability_2026-09-06_op_15_line_10858.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_10858.html,5.0,5.0,5.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,24,16024,1,#,normal,,ok,22825,data/output/reliability/line_reliability_2026-09-06_op_15_line_22825.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_22825.html,53.0,53.0,50.0,0.0,0.05660377358490566,,
2026-09-06,שרון חולון מרחבי,15,24,16024,1,1,normal,,ok,2362,data/output/reliability/line_reliability_2026-09-06_op_15_line_2362.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_2362.html,1.0,1.0,1.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,24,16024,2,#,normal,,ok,22826,data/output/reliability/line_reliability_2026-09-06_op_15_line_22826.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_22826.html,48.0,46.0,44.0,2.0,0.041666666666666664,,
2026-09-06,שרון חולון מרחבי,15,24,16024,2,1,normal,,ok,2365,data/output/reliability/line_reliability_2026-09-06_op_15_line_2365.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_2365.html,1.0,1.0,1.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,26,14026,1,#,normal,,ok,9842,data/output/reliability/line_reliability_2026-09-06_op_15_line_9842.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_9842.html,47.0,47.0,46.0,0.0,0.02127659574468085,,
2026-09-06,שרון חולון מרחבי,15,26,14026,2,#,normal,,ok,9843,data/output/reliability/line_reliability_2026-09-06_op_15_line_9843.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_9843.html,51.0,51.0,49.0,0.0,0.0392156862745098,,
2026-09-06,שרון חולון מרחבי,15,298,14298,1,#,normal,,ok,16188,data/output/reliability/line_reliability_2026-09-06_op_15_line_16188.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16188.html,2.0,2.0,1.0,0.0,0.5,,
2026-09-06,שרון חולון מרחבי,15,298,14298,1,1,normal,,ok,40433,data/output/reliability/line_reliability_2026-09-06_op_15_line_40433.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_40433.html,3.0,2.0,1.0,1.0,0.3333333333333333,,
2026-09-06,שרון חולון מרחבי,15,298,14298,2,#,normal,,ok,16189,data/output/reliability/line_reliability_2026-09-06_op_15_line_16189.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16189.html,1.0,1.0,1.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,3,82003,1,#,normal,,ok,33273,data/output/reliability/line_reliability_2026-09-06_op_15_line_33273.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_33273.html,28.0,28.0,26.0,0.0,0.07142857142857142,,
2026-09-06,שרון חולון מרחבי,15,3,82003,2,#,normal,,ok,33274,data/output/reliability/line_reliability_2026-09-06_op_15_line_33274.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_33274.html,27.0,27.0,27.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,35,36035,1,#,normal,,ok,25407,data/output/reliability/line_reliability_2026-09-06_op_15_line_25407.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_25407.html,37.0,37.0,34.0,0.0,0.08108108108108109,,
2026-09-06,שרון חולון מרחבי,15,35,36035,2,#,normal,,ok,25408,data/output/reliability/line_reliability_2026-09-06_op_15_line_25408.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_25408.html,34.0,34.0,34.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,37,27037,1,#,normal,,ok,16184,data/output/reliability/line_reliability_2026-09-06_op_15_line_16184.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16184.html,14.0,14.0,7.0,0.0,0.5,,
2026-09-06,שרון חולון מרחבי,15,37,27037,1,1,normal,,ok,16185,data/output/reliability/line_reliability_2026-09-06_op_15_line_16185.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16185.html,4.0,4.0,4.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,37,27037,2,#,normal,,ok,16186,data/output/reliability/line_reliability_2026-09-06_op_15_line_16186.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16186.html,6.0,6.0,6.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,37,27037,2,1,normal,,ok,16187,data/output/reliability/line_reliability_2026-09-06_op_15_line_16187.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16187.html,3.0,3.0,3.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,4,63004,1,#,normal,,ok,33275,data/output/reliability/line_reliability_2026-09-06_op_15_line_33275.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_33275.html,27.0,27.0,26.0,0.0,0.037037037037037035,,
2026-09-06,שרון חולון מרחבי,15,4,63004,2,#,normal,,ok,33276,data/output/reliability/line_reliability_2026-09-06_op_15_line_33276.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_33276.html,28.0,28.0,27.0,0.0,0.03571428571428571,,
2026-09-06,שרון חולון מרחבי,15,468,12468,1,#,normal,,ok,43303,data/output/reliability/line_reliability_2026-09-06_op_15_line_43303.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_43303.html,15.0,15.0,15.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,468,12468,2,#,normal,,ok,43304,data/output/reliability/line_reliability_2026-09-06_op_15_line_43304.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_43304.html,16.0,16.0,15.0,0.0,0.0625,,
2026-09-06,שרון חולון מרחבי,15,501,11501,1,#,normal,,ok,5189,data/output/reliability/line_reliability_2026-09-06_op_15_line_5189.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_5189.html,68.0,64.0,58.0,4.0,0.08823529411764706,,
2026-09-06,שרון חולון מרחבי,15,501,11501,1,5,normal,,ok,28213,data/output/reliability/line_reliability_2026-09-06_op_15_line_28213.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_28213.html,3.0,3.0,3.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,501,11501,2,#,normal,,ok,5193,data/output/reliability/line_reliability_2026-09-06_op_15_line_5193.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_5193.html,69.0,69.0,61.0,0.0,0.11594202898550725,,
2026-09-06,שרון חולון מרחבי,15,504,10504,1,#,normal,,ok,5208,data/output/reliability/line_reliability_2026-09-06_op_15_line_5208.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_5208.html,21.0,21.0,21.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,504,10504,2,#,normal,,ok,19686,data/output/reliability/line_reliability_2026-09-06_op_15_line_19686.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_19686.html,13.0,13.0,13.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,505,11505,1,#,normal,,ok,5210,data/output/reliability/line_reliability_2026-09-06_op_15_line_5210.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_5210.html,4.0,4.0,4.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,505,11505,2,#,normal,,ok,5211,data/output/reliability/line_reliability_2026-09-06_op_15_line_5211.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_5211.html,3.0,3.0,3.0,0.0,0.0,,
