planned_start_time,actual_start_time,gtfs_ride_id
2026-09-06T03:40:00+00:00,2026-09-06T03:40:00+00:00,156121362.0
2026-09-06T04:15:00+00:00,2026-09-06T04:15:00+00:00,156073751.0
2026-09-06T04:30:00+00:00,2026-09-06T04:30:00+00:00,156070351.0
2026-09-06T04:45:00+00:00,2026-09-06T04:45:00+00:00,156073750.0
2026-09-06T05:00:00+00:00,2026-09-06T05:00:00+00:00,156073749.0
2026-09-06T05:15:00+00:00,2026-09-06T05:15:00+00:00,156072235.0
2026-09-06T05:30:00+00:00,2026-09-06T05:30:00+00:00,156072238.0
2026-09-06T05:45:00+00:00,2026-09-06T05:45:00+00:00,156072075.0
2026-09-06T06:00:00+00:00,2026-09-06T06:00:00+00:00,156072074.0
2026-09-06T06:20:00+00:00,2026-09-06T06:20:00+00:00,156072076.0
2026-09-06T06:40:00+00:00,2026-09-06T06:40:00+00:00,156072998.0
2026-09-06T07:00:00+00:00,2026-09-06T07:00:00+00:00,156068767.0
2026-09-06T07:20:00+00:00,2026-09-06T07:20:00+00:00,156070311.0
2026-09-06T07:40:00+00:00,2026-09-06T07:40:00+00:00,156072236.0
2026-09-06T08:00:00+00:00,2026-09-06T08:00:00+00:00,156070304.0
2026-09-06T08:20:00+00:00,2026-09-06T08:20:00+00:00,156121363.0
2026-09-06T08:40:00+00:00,2026-09-06T08:40:00+00:00,156070312.0
2026-09-06T09:00:00+00:00,,156068770.0
2026-09-06T09:20:00+00:00,2026-09-06T09:20:00+00:00,156072237.0
2026-09-06T09:40:00+00:00,2026-09-06T09:40:00+00:00,156068769.0
2026-09-06T10:00:00+00:00,2026-09-06T10:00:00+00:00,156072239.0
2026-09-06T10:15:00+00:00,2026-09-06T10:15:00+00:00,156121364.0
2026-09-06T10:30:00+00:00,2026-09-06T10:30:00+00:00,156076753.0
2026-09-06T10:45:00+00:00,2026-09-06T10:45:00+00:00,156068771.0
2026-09-06T11:00:00+00:00,2026-09-06T11:00:00+00:00,156068768.0
2026-09-06T11:15:00+00:00,2026-09-06T11:15:00+00:00,156070352.0
2026-09-06T11:30:00+00:00,2026-09-06T11:30:00+00:00,156072073.0
2026-09-06T11:45:00+00:00,2026-09-06T11:45:00+00:00,156072999.0
,2026-09-05T21:06:00+00:00,
,2026-09-05T21:07:00+00:00,
,2026-09-05T21:16:00+00:00,
,2026-09-06T11:41:00+00:00,
