planned_start_time,actual_start_time,gtfs_ride_id
2026-07-19T05:20:00+00:00,2026-07-19T05:20:00+00:00,151078110
2026-07-19T05:50:00+00:00,2026-07-19T05:50:00+00:00,151076162
2026-07-19T05:50:00+00:00,2026-07-19T05:50:00+00:00,151076162
2026-07-19T06:20:00+00:00,2026-07-19T06:20:00+00:00,151076163
2026-07-19T06:50:00+00:00,2026-07-19T06:50:00+00:00,151078111
2026-07-19T07:20:00+00:00,2026-07-19T07:20:00+00:00,151071726
2026-07-19T09:00:00+00:00,2026-07-19T09:00:00+00:00,151071811
2026-07-19T09:45:00+00:00,2026-07-19T09:45:00+00:00,151076164
2026-07-19T10:30:00+00:00,2026-07-19T10:30:00+00:00,151076165
2026-07-19T11:15:00+00:00,2026-07-19T11:15:00+00:00,151069159
2026-07-19T12:00:00+00:00,2026-07-19T12:00:00+00:00,151079034
2026-07-19T13:00:00+00:00,2026-07-19T13:00:00+00:00,151071727
2026-07-19T14:10:00+00:00,2026-07-19T14:10:00+00:00,151069160
2026-07-19T14:50:00+00:00,2026-07-19T14:50:00+00:00,151076166
2026-07-19T15:50:00+00:00,2026-07-19T15:50:00+00:00,151071728
2026-07-19T16:50:00+00:00,2026-07-19T16:50:00+00:00,151074975
