planned_start_time,actual_start_time,gtfs_ride_id
2026-06-29T02:30:00+00:00,2026-06-29T02:30:00+00:00,148810148.0
2026-06-29T03:00:00+00:00,2026-06-29T03:00:00+00:00,148810578.0
2026-06-29T03:20:00+00:00,2026-06-29T03:20:00+00:00,148809621.0
2026-06-29T03:45:00+00:00,2026-06-29T03:45:00+00:00,148915313.0
2026-06-29T04:00:00+00:00,2026-06-29T04:00:00+00:00,148808459.0
2026-06-29T04:20:00+00:00,2026-06-29T04:20:00+00:00,148810579.0
2026-06-29T04:40:00+00:00,2026-06-29T04:40:00+00:00,148810149.0
2026-06-29T05:00:00+00:00,2026-06-29T05:00:00+00:00,148810150.0
2026-06-29T05:20:00+00:00,2026-06-29T05:20:00+00:00,148808456.0
2026-06-29T05:40:00+00:00,2026-06-29T05:40:00+00:00,148813862.0
2026-06-29T05:55:00+00:00,2026-06-29T05:55:00+00:00,148809623.0
2026-06-29T06:20:00+00:00,2026-06-29T06:20:00+00:00,148809620.0
2026-06-29T06:40:00+00:00,2026-06-29T06:40:00+00:00,148813864.0
2026-06-29T07:00:00+00:00,2026-06-29T07:00:00+00:00,148810151.0
2026-06-29T07:20:00+00:00,2026-06-29T07:20:00+00:00,148813868.0
2026-06-29T07:35:00+00:00,2026-06-29T07:35:00+00:00,148915318.0
2026-06-29T08:00:00+00:00,2026-06-29T08:00:00+00:00,148808457.0
2026-06-29T08:20:00+00:00,2026-06-29T08:20:00+00:00,148808460.0
2026-06-29T08:40:00+00:00,2026-06-29T08:40:00+00:00,148815312.0
2026-06-29T09:00:00+00:00,2026-06-29T09:00:00+00:00,148815310.0
2026-06-29T09:20:00+00:00,2026-06-29T09:20:00+00:00,148915316.0
2026-06-29T09:40:00+00:00,2026-06-29T09:40:00+00:00,148810580.0
2026-06-29T10:00:00+00:00,2026-06-29T10:00:00+00:00,148810152.0
2026-06-29T10:15:00+00:00,2026-06-29T10:15:00+00:00,148810155.0
2026-06-29T10:40:00+00:00,2026-06-29T10:40:00+00:00,148813866.0
2026-06-29T11:00:00+00:00,2026-06-29T11:00:00+00:00,148815311.0
2026-06-29T11:20:00+00:00,2026-06-29T11:20:00+00:00,148809622.0
2026-06-29T11:40:00+00:00,2026-06-29T11:40:00+00:00,148809915.0
2026-06-29T12:00:00+00:00,2026-06-29T12:00:00+00:00,148915310.0
2026-06-29T12:25:00+00:00,2026-06-29T12:25:00+00:00,148915319.0
2026-06-29T12:40:00+00:00,2026-06-29T12:40:00+00:00,148915314.0
2026-06-29T13:00:00+00:00,2026-06-29T13:00:00+00:00,148915311.0
2026-06-29T13:20:00+00:00,2026-06-29T13:20:00+00:00,148915317.0
2026-06-29T13:40:00+00:00,2026-06-29T13:40:00+00:00,148810581.0
2026-06-29T14:00:00+00:00,2026-06-29T14:00:00+00:00,148808458.0
2026-06-29T14:20:00+00:00,2026-06-29T14:20:00+00:00,148915315.0
2026-06-29T14:40:00+00:00,2026-06-29T14:40:00+00:00,148810582.0
2026-06-29T15:00:00+00:00,2026-06-29T15:00:00+00:00,148809619.0
2026-06-29T15:30:00+00:00,2026-06-29T15:30:00+00:00,148915312.0
2026-06-29T16:00:00+00:00,2026-06-29T16:00:00+00:00,148813863.0
2026-06-29T16:30:00+00:00,2026-06-29T16:30:00+00:00,148809914.0
2026-06-29T17:00:00+00:00,2026-06-29T17:00:00+00:00,148810153.0
2026-06-29T17:35:00+00:00,2026-06-29T17:35:00+00:00,148809916.0
2026-06-29T18:00:00+00:00,2026-06-29T18:00:00+00:00,148813867.0
2026-06-29T19:00:00+00:00,2026-06-29T19:00:00+00:00,148809624.0
2026-06-29T20:00:00+00:00,2026-06-29T20:00:00+00:00,148810154.0
,2026-06-29T03:26:00+00:00,
,2026-06-29T05:15:00+00:00,
