planned_start_time,actual_start_time,gtfs_ride_id
2026-08-05T03:00:00+00:00,2026-08-05T03:00:00+00:00,152971913.0
2026-08-05T03:30:00+00:00,2026-08-05T03:30:00+00:00,152967465.0
2026-08-05T04:00:00+00:00,2026-08-05T04:00:00+00:00,152973322.0
2026-08-05T04:30:00+00:00,2026-08-05T04:30:00+00:00,153045686.0
2026-08-05T05:00:00+00:00,2026-08-05T05:00:00+00:00,152969456.0
2026-08-05T05:30:00+00:00,2026-08-05T05:30:00+00:00,152969457.0
2026-08-05T06:30:00+00:00,2026-08-05T06:30:00+00:00,152973323.0
2026-08-05T12:20:00+00:00,2026-08-05T12:20:00+00:00,152969458.0
2026-08-05T13:10:00+00:00,2026-08-05T13:10:00+00:00,153045687.0
2026-08-05T13:50:00+00:00,2026-08-05T13:50:00+00:00,152969933.0
2026-08-05T14:20:00+00:00,2026-08-05T14:20:00+00:00,152967466.0
,2026-08-05T11:45:00+00:00,
