planned_start_time,actual_start_time,gtfs_ride_id
2026-09-08T21:05:00+00:00,2026-09-08T21:05:00+00:00,156385959
2026-09-09T03:30:00+00:00,2026-09-09T03:30:00+00:00,156385398
2026-09-09T04:00:00+00:00,2026-09-09T04:00:00+00:00,156491773
2026-09-09T04:30:00+00:00,2026-09-09T04:30:00+00:00,156477741
2026-09-09T05:00:00+00:00,2026-09-09T05:00:00+00:00,156477740
2026-09-09T05:30:00+00:00,2026-09-09T05:30:00+00:00,156430858
2026-09-09T06:00:00+00:00,2026-09-09T06:00:00+00:00,156446663
2026-09-09T06:30:00+00:00,2026-09-09T06:30:00+00:00,156446664
2026-09-09T07:00:00+00:00,2026-09-09T07:00:00+00:00,156446665
2026-09-09T07:30:00+00:00,2026-09-09T07:30:00+00:00,156428477
2026-09-09T08:00:00+00:00,2026-09-09T08:00:00+00:00,156385402
2026-09-09T08:30:00+00:00,2026-09-09T08:30:00+00:00,156390787
2026-09-09T09:00:00+00:00,2026-09-09T09:00:00+00:00,156477739
2026-09-09T09:30:00+00:00,2026-09-09T09:30:00+00:00,156428478
2026-09-09T10:00:00+00:00,2026-09-09T10:00:00+00:00,156428476
2026-09-09T10:20:00+00:00,2026-09-09T10:20:00+00:00,156385400
2026-09-09T10:40:00+00:00,2026-09-09T10:40:00+00:00,156446660
2026-09-09T11:00:00+00:00,2026-09-09T11:00:00+00:00,156446003
2026-09-09T11:20:00+00:00,2026-09-09T11:20:00+00:00,156430856
2026-09-09T11:40:00+00:00,2026-09-09T11:40:00+00:00,156390784
2026-09-09T12:20:00+00:00,2026-09-09T12:20:00+00:00,156477738
2026-09-09T12:40:00+00:00,2026-09-09T12:40:00+00:00,156430857
2026-09-09T13:20:00+00:00,2026-09-09T13:20:00+00:00,156420740
2026-09-09T13:40:00+00:00,2026-09-09T13:40:00+00:00,156446661
2026-09-09T14:20:00+00:00,2026-09-09T14:20:00+00:00,156491771
2026-09-09T14:40:00+00:00,2026-09-09T14:40:00+00:00,156385399
2026-09-09T15:20:00+00:00,2026-09-09T15:20:00+00:00,156477737
2026-09-09T15:40:00+00:00,2026-09-09T15:40:00+00:00,156390785
2026-09-09T16:00:00+00:00,2026-09-09T16:00:00+00:00,156446002
2026-09-09T16:20:00+00:00,2026-09-09T16:20:00+00:00,156491772
2026-09-09T16:20:00+00:00,2026-09-09T16:20:00+00:00,156491772
2026-09-09T16:20:00+00:00,2026-09-09T16:20:00+00:00,156491772
2026-09-09T16:40:00+00:00,2026-09-09T16:40:00+00:00,156420739
2026-09-09T17:30:00+00:00,2026-09-09T17:30:00+00:00,156390786
2026-09-09T18:00:00+00:00,2026-09-09T18:00:00+00:00,156491774
2026-09-09T18:30:00+00:00,2026-09-09T18:30:00+00:00,156385403
2026-09-09T19:05:00+00:00,2026-09-09T19:05:00+00:00,156420741
2026-09-09T19:35:00+00:00,2026-09-09T19:35:00+00:00,156385401
2026-09-09T20:05:00+00:00,2026-09-09T20:05:00+00:00,156428475
