planned_start_time,actual_start_time,gtfs_ride_id
2026-09-14T02:30:00+00:00,2026-09-14T02:30:00+00:00,156712356.0
2026-09-14T03:00:00+00:00,2026-09-14T03:00:00+00:00,156712428.0
2026-09-14T03:20:00+00:00,2026-09-14T03:20:00+00:00,156712438.0
2026-09-14T03:45:00+00:00,2026-09-14T03:45:00+00:00,156713402.0
2026-09-14T04:00:00+00:00,2026-09-14T04:00:00+00:00,156712436.0
2026-09-14T04:20:00+00:00,2026-09-14T04:20:00+00:00,156809773.0
2026-09-14T04:40:00+00:00,2026-09-14T04:40:00+00:00,156711840.0
2026-09-14T05:00:00+00:00,2026-09-14T05:00:00+00:00,156809771.0
2026-09-14T05:20:00+00:00,2026-09-14T05:20:00+00:00,156707235.0
2026-09-14T05:40:00+00:00,2026-09-14T05:40:00+00:00,156711841.0
2026-09-14T06:00:00+00:00,2026-09-14T06:00:00+00:00,156707236.0
2026-09-14T06:20:00+00:00,2026-09-14T06:20:00+00:00,156713403.0
2026-09-14T06:40:00+00:00,2026-09-14T06:40:00+00:00,156712359.0
2026-09-14T07:05:00+00:00,2026-09-14T07:05:00+00:00,156713406.0
2026-09-14T07:20:00+00:00,2026-09-14T07:20:00+00:00,156711801.0
2026-09-14T07:35:00+00:00,2026-09-14T07:35:00+00:00,156711256.0
2026-09-14T08:00:00+00:00,2026-09-14T08:00:00+00:00,156719352.0
2026-09-14T08:20:00+00:00,2026-09-14T08:20:00+00:00,156716022.0
2026-09-14T08:40:00+00:00,2026-09-14T08:40:00+00:00,156809774.0
2026-09-14T09:00:00+00:00,2026-09-14T09:00:00+00:00,156711768.0
2026-09-14T09:20:00+00:00,2026-09-14T09:20:00+00:00,156707241.0
2026-09-14T09:40:00+00:00,2026-09-14T09:40:00+00:00,156707238.0
2026-09-14T10:00:00+00:00,2026-09-14T10:00:00+00:00,156707237.0
2026-09-14T10:15:00+00:00,2026-09-14T10:15:00+00:00,156707244.0
2026-09-14T10:40:00+00:00,2026-09-14T10:40:00+00:00,156719392.0
2026-09-14T11:00:00+00:00,2026-09-14T11:00:00+00:00,156719353.0
2026-09-14T11:20:00+00:00,2026-09-14T11:20:00+00:00,156719394.0
2026-09-14T11:40:00+00:00,2026-09-14T11:40:00+00:00,156809775.0
2026-09-14T12:00:00+00:00,2026-09-14T12:00:00+00:00,156719391.0
2026-09-14T12:25:00+00:00,2026-09-14T12:25:00+00:00,156707242.0
2026-09-14T12:40:00+00:00,2026-09-14T12:40:00+00:00,156707239.0
2026-09-14T13:00:00+00:00,2026-09-14T13:00:00+00:00,156711769.0
2026-09-14T13:20:00+00:00,2026-09-14T13:20:00+00:00,156713405.0
2026-09-14T13:40:00+00:00,2026-09-14T13:40:00+00:00,156711255.0
2026-09-14T14:00:00+00:00,2026-09-14T14:00:00+00:00,156713400.0
2026-09-14T14:20:00+00:00,2026-09-14T14:20:00+00:00,156712360.0
2026-09-14T14:40:00+00:00,2026-09-14T14:40:00+00:00,156719393.0
2026-09-14T15:00:00+00:00,2026-09-14T15:00:00+00:00,156712357.0
2026-09-14T15:25:00+00:00,2026-09-14T15:25:00+00:00,156707240.0
2026-09-14T15:40:00+00:00,2026-09-14T15:40:00+00:00,156712437.0
2026-09-14T16:00:00+00:00,2026-09-14T16:00:00+00:00,156712358.0
2026-09-14T16:30:00+00:00,2026-09-14T16:30:00+00:00,156713401.0
2026-09-14T17:00:00+00:00,2026-09-14T17:00:00+00:00,156809772.0
2026-09-14T17:35:00+00:00,2026-09-14T17:35:00+00:00,156707243.0
2026-09-14T18:10:00+00:00,2026-09-14T18:10:00+00:00,156711802.0
2026-09-14T19:05:00+00:00,2026-09-14T19:05:00+00:00,156711257.0
2026-09-14T20:00:00+00:00,2026-09-14T20:00:00+00:00,156713404.0
,2026-09-14T03:53:00+00:00,
