planned_start_time,actual_start_time,gtfs_ride_id
2026-08-25T02:00:00+00:00,2026-08-25T02:00:00+00:00,154890384.0
2026-08-25T03:00:00+00:00,,154895521.0
2026-08-25T03:20:00+00:00,,154979518.0
2026-08-25T03:40:00+00:00,,154892126.0
2026-08-25T04:00:00+00:00,2026-08-25T04:00:00+00:00,154892124.0
2026-08-25T04:20:00+00:00,2026-08-25T04:20:00+00:00,154887546.0
2026-08-25T04:40:00+00:00,2026-08-25T04:40:00+00:00,154890388.0
2026-08-25T05:00:00+00:00,2026-08-25T05:00:00+00:00,154895522.0
2026-08-25T05:20:00+00:00,2026-08-25T05:20:00+00:00,154892125.0
2026-08-25T05:40:00+00:00,2026-08-25T05:40:00+00:00,154979519.0
2026-08-25T06:00:00+00:00,2026-08-25T06:00:00+00:00,154884508.0
2026-08-25T06:20:00+00:00,2026-08-25T06:20:00+00:00,154895523.0
2026-08-25T06:40:00+00:00,2026-08-25T06:40:00+00:00,154882853.0
2026-08-25T07:00:00+00:00,2026-08-25T07:00:00+00:00,154875381.0
2026-08-25T07:20:00+00:00,2026-08-25T07:20:00+00:00,154887545.0
2026-08-25T07:40:00+00:00,2026-08-25T07:40:00+00:00,154895524.0
2026-08-25T08:00:00+00:00,2026-08-25T08:00:00+00:00,154890387.0
2026-08-25T08:20:00+00:00,2026-08-25T08:20:00+00:00,154875382.0
2026-08-25T08:40:00+00:00,2026-08-25T08:40:00+00:00,154892127.0
2026-08-25T09:00:00+00:00,2026-08-25T09:00:00+00:00,154979517.0
2026-08-25T09:20:00+00:00,2026-08-25T09:20:00+00:00,154884509.0
2026-08-25T09:40:00+00:00,2026-08-25T09:40:00+00:00,154895525.0
2026-08-25T10:00:00+00:00,2026-08-25T10:00:00+00:00,154979515.0
2026-08-25T10:20:00+00:00,2026-08-25T10:20:00+00:00,154892047.0
2026-08-25T10:40:00+00:00,2026-08-25T10:40:00+00:00,154882854.0
2026-08-25T11:00:00+00:00,2026-08-25T11:00:00+00:00,154875376.0
2026-08-25T11:20:00+00:00,2026-08-25T11:20:00+00:00,154875377.0
2026-08-25T11:40:00+00:00,2026-08-25T11:40:00+00:00,154895526.0
2026-08-25T12:00:00+00:00,2026-08-25T12:00:00+00:00,154884507.0
2026-08-25T12:20:00+00:00,2026-08-25T12:20:00+00:00,154892048.0
2026-08-25T12:40:00+00:00,2026-08-25T12:40:00+00:00,154892120.0
2026-08-25T13:00:00+00:00,2026-08-25T13:00:00+00:00,154887543.0
2026-08-25T13:20:00+00:00,2026-08-25T13:20:00+00:00,154875378.0
2026-08-25T13:40:00+00:00,2026-08-25T13:40:00+00:00,154882852.0
2026-08-25T14:00:00+00:00,,154882851.0
2026-08-25T14:20:00+00:00,2026-08-25T14:20:00+00:00,154892049.0
2026-08-25T14:40:00+00:00,2026-08-25T14:40:00+00:00,154892121.0
2026-08-25T15:00:00+00:00,2026-08-25T15:00:00+00:00,154890385.0
2026-08-25T15:20:00+00:00,2026-08-25T15:20:00+00:00,154875379.0
2026-08-25T15:40:00+00:00,2026-08-25T15:40:00+00:00,154890386.0
2026-08-25T16:00:00+00:00,2026-08-25T16:00:00+00:00,154895276.0
2026-08-25T16:20:00+00:00,2026-08-25T16:20:00+00:00,154875380.0
2026-08-25T16:40:00+00:00,2026-08-25T16:40:00+00:00,154892122.0
2026-08-25T17:00:00+00:00,2026-08-25T17:00:00+00:00,154887544.0
2026-08-25T17:20:00+00:00,2026-08-25T17:20:00+00:00,154895277.0
2026-08-25T17:40:00+00:00,2026-08-25T17:40:00+00:00,154895278.0
2026-08-25T18:00:00+00:00,2026-08-25T18:00:00+00:00,154882849.0
2026-08-25T18:20:00+00:00,2026-08-25T18:20:00+00:00,154979516.0
2026-08-25T18:40:00+00:00,2026-08-25T18:40:00+00:00,154892123.0
2026-08-25T19:00:00+00:00,2026-08-25T19:00:00+00:00,154875375.0
2026-08-25T19:30:00+00:00,2026-08-25T19:30:00+00:00,154882850.0
,2026-08-25T02:05:00+00:00,
,2026-08-25T04:24:00+00:00,
,2026-08-25T19:55:00+00:00,
