planned_start_time,actual_start_time,gtfs_ride_id
2026-07-06T03:00:00+00:00,2026-07-06T03:00:00+00:00,149620889
2026-07-06T06:50:00+00:00,2026-07-06T06:50:00+00:00,149620910
2026-07-06T07:40:00+00:00,2026-07-06T07:40:00+00:00,149629237
2026-07-06T08:20:00+00:00,2026-07-06T08:20:00+00:00,149620891
2026-07-06T08:55:00+00:00,2026-07-06T08:55:00+00:00,149713088
2026-07-06T09:50:00+00:00,2026-07-06T09:50:00+00:00,149698586
2026-07-06T10:45:00+00:00,2026-07-06T10:45:00+00:00,149620909
2026-07-06T11:40:00+00:00,2026-07-06T11:40:00+00:00,149679171
2026-07-06T12:00:00+00:00,2026-07-06T12:00:00+00:00,149678250
2026-07-06T12:50:00+00:00,2026-07-06T12:50:00+00:00,149620890
2026-07-06T13:15:00+00:00,2026-07-06T13:15:00+00:00,149611149
2026-07-06T14:00:00+00:00,2026-07-06T14:00:00+00:00,149679339
2026-07-06T14:45:00+00:00,2026-07-06T14:45:00+00:00,149678249
2026-07-06T15:30:00+00:00,2026-07-06T15:30:00+00:00,149628590
2026-07-06T16:20:00+00:00,2026-07-06T16:20:00+00:00,149698585
2026-07-06T17:10:00+00:00,2026-07-06T17:10:00+00:00,149629238
2026-07-06T18:05:00+00:00,2026-07-06T18:05:00+00:00,149713087
2026-07-06T19:00:00+00:00,2026-07-06T19:00:00+00:00,149611077
