planned_start_time,actual_start_time,gtfs_ride_id
2026-07-06T02:55:00+00:00,2026-07-06T02:55:00+00:00,149708792
2026-07-06T03:30:00+00:00,2026-07-06T03:30:00+00:00,149679864
2026-07-06T04:55:00+00:00,2026-07-06T04:55:00+00:00,149654530
2026-07-06T06:50:00+00:00,2026-07-06T06:50:00+00:00,149611009
2026-07-06T10:40:00+00:00,2026-07-06T10:40:00+00:00,149708793
2026-07-06T12:00:00+00:00,2026-07-06T12:00:00+00:00,149698465
2026-07-06T13:00:00+00:00,2026-07-06T13:00:00+00:00,149679865
2026-07-06T15:00:00+00:00,2026-07-06T15:00:00+00:00,149610562
