planned_start_time,actual_start_time,gtfs_ride_id
2026-09-13T21:05:00+00:00,2026-09-13T21:05:00+00:00,156720627
2026-09-13T22:05:00+00:00,2026-09-13T22:05:00+00:00,156809801
2026-09-13T23:00:00+00:00,2026-09-13T23:00:00+00:00,156809800
2026-09-14T03:45:00+00:00,2026-09-14T03:45:00+00:00,156717812
2026-09-14T04:35:00+00:00,2026-09-14T04:35:00+00:00,156712499
2026-09-14T05:30:00+00:00,2026-09-14T05:30:00+00:00,156718025
2026-09-14T06:25:00+00:00,2026-09-14T06:25:00+00:00,156720628
2026-09-14T07:20:00+00:00,2026-09-14T07:20:00+00:00,156720629
2026-09-14T08:15:00+00:00,2026-09-14T08:15:00+00:00,156718024
2026-09-14T09:10:00+00:00,2026-09-14T09:10:00+00:00,156717713
2026-09-14T10:30:00+00:00,2026-09-14T10:30:00+00:00,156712502
2026-09-14T11:25:00+00:00,2026-09-14T11:25:00+00:00,156713451
2026-09-14T12:20:00+00:00,2026-09-14T12:20:00+00:00,156712501
2026-09-14T13:10:00+00:00,2026-09-14T13:10:00+00:00,156712500
2026-09-14T14:05:00+00:00,2026-09-14T14:05:00+00:00,156717813
2026-09-14T15:00:00+00:00,2026-09-14T15:00:00+00:00,156716024
2026-09-14T15:55:00+00:00,2026-09-14T15:55:00+00:00,156717724
2026-09-14T16:50:00+00:00,2026-09-14T16:50:00+00:00,156809803
2026-09-14T17:20:00+00:00,2026-09-14T17:20:00+00:00,156720630
2026-09-14T18:15:00+00:00,2026-09-14T18:15:00+00:00,156809802
