planned_start_time,actual_start_time,gtfs_ride_id
2026-07-27T03:00:00+00:00,2026-07-27T03:00:00+00:00,151889834
2026-07-27T03:40:00+00:00,2026-07-27T03:40:00+00:00,151889830
2026-07-27T04:00:00+00:00,2026-07-27T04:00:00+00:00,151889831
2026-07-27T04:30:00+00:00,2026-07-27T04:30:00+00:00,151889832
2026-07-27T05:00:00+00:00,2026-07-27T05:00:00+00:00,151889829
2026-07-27T05:25:00+00:00,2026-07-27T05:25:00+00:00,151891105
2026-07-27T05:55:00+00:00,2026-07-27T05:55:00+00:00,151891103
2026-07-27T06:35:00+00:00,2026-07-27T06:35:00+00:00,151891106
2026-07-27T08:40:00+00:00,2026-07-27T08:40:00+00:00,151891100
2026-07-27T09:25:00+00:00,2026-07-27T09:25:00+00:00,151891104
2026-07-27T10:00:00+00:00,2026-07-27T10:00:00+00:00,151891101
2026-07-27T10:40:00+00:00,2026-07-27T10:40:00+00:00,151891102
2026-07-27T11:35:00+00:00,2026-07-27T11:35:00+00:00,151889833
