planned_start_time,actual_start_time,gtfs_ride_id
2026-07-05T05:00:00+00:00,2026-07-05T05:00:00+00:00,149588515.0
2026-07-05T06:00:00+00:00,2026-07-05T06:00:00+00:00,149588519.0
2026-07-05T07:00:00+00:00,2026-07-05T07:00:00+00:00,149588520.0
2026-07-05T08:00:00+00:00,2026-07-05T08:00:00+00:00,149588521.0
2026-07-05T09:00:00+00:00,2026-07-05T09:00:00+00:00,149588522.0
2026-07-05T10:00:00+00:00,2026-07-05T10:00:00+00:00,149588523.0
2026-07-05T11:00:00+00:00,2026-07-05T11:00:00+00:00,149588531.0
2026-07-05T12:00:00+00:00,2026-07-05T12:00:00+00:00,149588524.0
2026-07-05T13:00:00+00:00,2026-07-05T13:00:00+00:00,149588525.0
2026-07-05T14:00:00+00:00,2026-07-05T14:00:00+00:00,149588516.0
2026-07-05T15:00:00+00:00,2026-07-05T15:00:00+00:00,149588526.0
2026-07-05T16:00:00+00:00,2026-07-05T16:00:00+00:00,149588527.0
2026-07-05T17:00:00+00:00,2026-07-05T17:00:00+00:00,149588517.0
2026-07-05T18:00:00+00:00,2026-07-05T18:00:00+00:00,149588528.0
2026-07-05T19:00:00+00:00,2026-07-05T19:00:00+00:00,149588529.0
2026-07-05T19:30:00+00:00,2026-07-05T19:30:00+00:00,149588530.0
2026-07-05T20:00:00+00:00,2026-07-05T20:00:00+00:00,149588518.0
,2026-07-05T06:07:00+00:00,
