planned_start_time,actual_start_time,gtfs_ride_id
2026-08-31T03:25:00+00:00,2026-08-31T03:25:00+00:00,155534401.0
2026-08-31T04:05:00+00:00,2026-08-31T04:05:00+00:00,155534402.0
2026-08-31T05:10:00+00:00,2026-08-31T05:10:00+00:00,155450608.0
2026-08-31T07:45:00+00:00,,155447608.0
2026-08-31T12:10:00+00:00,2026-08-31T12:10:00+00:00,155464611.0
2026-08-31T13:25:00+00:00,2026-08-31T13:25:00+00:00,155464605.0
2026-08-31T14:40:00+00:00,2026-08-31T14:40:00+00:00,155464589.0
2026-08-31T17:45:00+00:00,2026-08-31T17:45:00+00:00,155464604.0
,2026-08-31T04:33:00+00:00,
,2026-08-31T15:20:00+00:00,
