planned_start_time,actual_start_time,gtfs_ride_id
2026-07-05T04:15:00+00:00,2026-07-05T04:15:00+00:00,149564459
2026-07-05T04:55:00+00:00,2026-07-05T04:55:00+00:00,149564467
2026-07-05T05:15:00+00:00,2026-07-05T05:15:00+00:00,149564460
2026-07-05T05:30:00+00:00,2026-07-05T05:30:00+00:00,149564461
2026-07-05T06:00:00+00:00,2026-07-05T06:00:00+00:00,149564462
2026-07-05T07:30:00+00:00,2026-07-05T07:30:00+00:00,149564458
2026-07-05T09:00:00+00:00,2026-07-05T09:00:00+00:00,149564457
2026-07-05T10:15:00+00:00,2026-07-05T10:15:00+00:00,149564466
2026-07-05T11:30:00+00:00,2026-07-05T11:30:00+00:00,149564463
2026-07-05T14:45:00+00:00,2026-07-05T14:45:00+00:00,149564464
2026-07-05T15:45:00+00:00,2026-07-05T15:45:00+00:00,149564465
