planned_start_time,actual_start_time,gtfs_ride_id
2026-08-05T03:00:00+00:00,2026-08-05T03:00:00+00:00,152959774
2026-08-05T06:00:00+00:00,2026-08-05T06:00:00+00:00,152961859
2026-08-05T08:30:00+00:00,2026-08-05T08:30:00+00:00,153044655
2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,152964775
2026-08-05T11:30:00+00:00,2026-08-05T11:30:00+00:00,152962131
2026-08-05T12:45:00+00:00,2026-08-05T12:45:00+00:00,152962130
2026-08-05T14:00:00+00:00,2026-08-05T14:00:00+00:00,152963534
2026-08-05T15:30:00+00:00,2026-08-05T15:30:00+00:00,152962920
2026-08-05T16:00:00+00:00,2026-08-05T16:00:00+00:00,152963536
2026-08-05T17:00:00+00:00,2026-08-05T17:00:00+00:00,152962919
2026-08-05T17:30:00+00:00,2026-08-05T17:30:00+00:00,152963533
2026-08-05T19:00:00+00:00,2026-08-05T19:00:00+00:00,152964774
2026-08-05T20:00:00+00:00,2026-08-05T20:00:00+00:00,152963535
2026-08-05T20:30:00+00:00,2026-08-05T20:30:00+00:00,152962129
