planned_start_time,actual_start_time,gtfs_ride_id
2026-09-06T03:55:00+00:00,2026-09-06T03:55:00+00:00,156097990.0
2026-09-06T04:30:00+00:00,2026-09-06T04:30:00+00:00,156104346.0
2026-09-06T05:00:00+00:00,2026-09-06T05:00:00+00:00,156096997.0
2026-09-06T05:30:00+00:00,2026-09-06T05:30:00+00:00,156099632.0
2026-09-06T06:00:00+00:00,2026-09-06T06:00:00+00:00,156104347.0
2026-09-06T06:30:00+00:00,2026-09-06T06:30:00+00:00,156095682.0
2026-09-06T06:30:00+00:00,2026-09-06T06:30:00+00:00,156095682.0
2026-09-06T06:30:00+00:00,2026-09-06T06:30:00+00:00,156095682.0
2026-09-06T07:00:00+00:00,,156098433.0
2026-09-06T07:45:00+00:00,2026-09-06T07:45:00+00:00,156097985.0
2026-09-06T08:30:00+00:00,2026-09-06T08:30:00+00:00,156097986.0
2026-09-06T09:15:00+00:00,2026-09-06T09:15:00+00:00,156098434.0
2026-09-06T10:00:00+00:00,2026-09-06T10:00:00+00:00,156099633.0
2026-09-06T10:30:00+00:00,2026-09-06T10:30:00+00:00,156124947.0
2026-09-06T11:00:00+00:00,2026-09-06T11:00:00+00:00,156104348.0
2026-09-06T11:30:00+00:00,2026-09-06T11:30:00+00:00,156097987.0
2026-09-06T12:00:00+00:00,2026-09-06T12:00:00+00:00,156097794.0
2026-09-06T12:30:00+00:00,2026-09-06T12:30:00+00:00,156124948.0
2026-09-06T13:00:00+00:00,2026-09-06T13:00:00+00:00,156124949.0
2026-09-06T13:30:00+00:00,2026-09-06T13:30:00+00:00,156099634.0
2026-09-06T14:00:00+00:00,2026-09-06T14:00:00+00:00,156124950.0
2026-09-06T14:30:00+00:00,2026-09-06T14:30:00+00:00,156097988.0
2026-09-06T15:10:00+00:00,2026-09-06T15:10:00+00:00,156124951.0
2026-09-06T16:10:00+00:00,2026-09-06T16:10:00+00:00,156095683.0
2026-09-06T17:50:00+00:00,2026-09-06T17:50:00+00:00,156097989.0
2026-09-06T18:30:00+00:00,2026-09-06T18:30:00+00:00,156099635.0
,2026-09-05T21:22:00+00:00,
,2026-09-06T03:04:00+00:00,
,2026-09-06T05:37:00+00:00,
