planned_start_time,actual_start_time,gtfs_ride_id
2026-08-05T04:15:00+00:00,2026-08-05T04:15:00+00:00,152976495
2026-08-05T04:45:00+00:00,2026-08-05T04:45:00+00:00,152971894
2026-08-05T05:30:00+00:00,2026-08-05T05:30:00+00:00,153046005
2026-08-05T06:00:00+00:00,2026-08-05T06:00:00+00:00,152971893
2026-08-05T06:30:00+00:00,2026-08-05T06:30:00+00:00,152974079
2026-08-05T07:00:00+00:00,2026-08-05T07:00:00+00:00,153046003
2026-08-05T07:30:00+00:00,2026-08-05T07:30:00+00:00,152971087
2026-08-05T08:00:00+00:00,2026-08-05T08:00:00+00:00,152971084
2026-08-05T08:30:00+00:00,2026-08-05T08:30:00+00:00,152974080
2026-08-05T09:00:00+00:00,2026-08-05T09:00:00+00:00,152974142
2026-08-05T09:30:00+00:00,2026-08-05T09:30:00+00:00,152972511
2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,152971085
2026-08-05T10:30:00+00:00,2026-08-05T10:30:00+00:00,152974081
2026-08-05T11:00:00+00:00,2026-08-05T11:00:00+00:00,152972508
2026-08-05T11:30:00+00:00,2026-08-05T11:30:00+00:00,152974082
2026-08-05T12:00:00+00:00,2026-08-05T12:00:00+00:00,152972509
2026-08-05T12:30:00+00:00,2026-08-05T12:30:00+00:00,152972512
2026-08-05T13:00:00+00:00,2026-08-05T13:00:00+00:00,152974143
2026-08-05T13:30:00+00:00,2026-08-05T13:30:00+00:00,152972510
2026-08-05T14:00:00+00:00,2026-08-05T14:00:00+00:00,152974078
2026-08-05T14:00:00+00:00,2026-08-05T14:00:00+00:00,152974078
2026-08-05T14:00:00+00:00,2026-08-05T14:00:00+00:00,152974078
2026-08-05T14:30:00+00:00,2026-08-05T14:30:00+00:00,152971892
2026-08-05T15:00:00+00:00,2026-08-05T15:00:00+00:00,152971086
2026-08-05T15:30:00+00:00,2026-08-05T15:30:00+00:00,153046004
2026-08-05T16:00:00+00:00,2026-08-05T16:00:00+00:00,152969267
2026-08-05T16:30:00+00:00,2026-08-05T16:30:00+00:00,152974144
