route_mkt,route_short_name,cluster,branch,vehicle_type,line_uniqueness,od
23088,88,שרון,שרון עירוני,עירוני,תלמידים,הרצליה/הרצליה
10228,228,שרון,שרון עירוני,עירוני,לילה,צור יצחק/הרצליה
11229,229,שרון,שרון עירוני,עירוני,לילה,כפר סבא/הרצליה
25089,89,שרון,שרון עירוני,עירוני,תלמידים,הרצליה/הרצליה
26092,92,שרון,שרון עירוני,עירוני,תלמידים,הרצליה/הרצליה
25094,94,שרון,שרון עירוני,עירוני,תלמידים,הרצליה/הרצליה
24089,89,שרון,שרון עירוני,עירוני,תלמידים,כפר סבא/כפר סבא
42099,99,שרון,שרון עירוני,עירוני,תלמידים,הרצליה/הרצליה
11699,699,שרון חולון מרחבי,נתניה,בינעירוני,לילה,נתניה/תל אביב יפו
12945,945,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/רכסים
10575,575,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר,כפר סבא/תל אביב יפו
31075,75,בקעת אונו,אונו,עירוני,סדיר,גני תקווה/פתח תקווה
35034,34,שרון,שרון עירוני,עירוני,סדיר,רעננה/הרצליה
31033,33,שרון,שרון עירוני,עירוני,סדיר,הרצליה/הרצליה
16285,285,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/אשדוד
11599,599,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/אופקים
18163,163,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/בני ברק
11263,263,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/בני ברק
56012,12,שרון,שרון עירוני,עירוני,סדיר,כפר סבא/רעננה
40013,13,שרון,שרון עירוני,עירוני,סדיר,רעננה/רעננה
51014,14,שרון,שרון עירוני,עירוני,סדיר,רעננה/רעננה
45017,17,שרון,שרון עירוני,עירוני,סדיר,רעננה/רעננה
16112,112,שרון,שרון עירוני,עירוני,סדיר,הוד השרון/רעננה
11477,477,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע_בית שמש
13372,372,הנגב,"ב""ש",בינעירוני,סדיר,קרית גת_פתח תקווה
19121,121,הנגב,"ב""ש",בינעירוני,סדיר,דריג'את_באר שבע
11581,581,הנגב,"ב""ש",בינעירוני,סדיר,
10576,576,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר,כפר סבא/ראש העין
