cluster,operator_ref,route_short_name,route_mkt,route_direction,route_alternative
שרון חולון מרחבי,15,612,10612,1,#
שרון חולון מרחבי,15,613,10613,1,#
שרון חולון מרחבי,15,525,10525,1,#
שרון חולון מרחבי,15,501,11501,2,#
שרון חולון מרחבי,15,21,59021,1,#
שרון חולון מרחבי,15,567,10567,2,#
שרון חולון מרחבי,15,575,10575,2,#
שרון חולון מרחבי,15,213,15213,1,#
שרון חולון מרחבי,15,613,10613,2,#
שרון חולון מרחבי,15,525,10525,2,#
שרון חולון מרחבי,15,600,10600,1,#
שרון חולון מרחבי,15,600,10600,2,#
שרון חולון מרחבי,15,468,12468,2,#
שרון חולון מרחבי,15,23,27023,1,#
שרון חולון מרחבי,15,567,10567,1,2
שרון חולון מרחבי,15,615,10615,2,#
שרון חולון מרחבי,15,614,10614,1,#
שרון חולון מרחבי,15,621,10621,1,#
שרון חולון מרחבי,15,468,12468,1,#
שרון חולון מרחבי,15,37,27037,1,#
שרון חולון מרחבי,15,37,27037,1,1
שרון חולון מרחבי,15,123,12123,1,#
שרון חולון מרחבי,15,123,12123,2,#
שרון חולון מרחבי,15,140,12140,1,#
בקעת אונו אלעד,15,11,71011,2,0
בקעת אונו אלעד,15,270,12270,2,0
בקעת אונו אלעד,15,78,17078,2,0
בקעת אונו אלעד,15,28,40028,1,0
בקעת אונו אלעד,15,3,92003,2,0
בקעת אונו אלעד,15,68,14068,1,0
בקעת אונו אלעד,15,256,14256,1,0
בקעת אונו אלעד,15,168,11168,1,1
שרון חולון מרחבי,15,22,46022,3,#
בקעת אונו אלעד,15,436,11436,1,0
בקעת אונו אלעד,15,77,33077,1,0
בקעת אונו אלעד,15,236,10236,1,0
בקעת אונו אלעד,15,205,19205,1,0
בקעת אונו אלעד,15,78,17078,1,4
בקעת אונו אלעד,15,37,21037,2,0
בקעת אונו אלעד,15,55,28055,2,0
שרון חולון מרחבי,15,6,22006,1,#
שרון חולון מרחבי,15,6,22006,2,1
שרון חולון מרחבי,15,26,14026,1,#
שרון חולון מרחבי,15,35,36035,2,#
שרון חולון מרחבי,15,77,36077,2,#
בקעת אונו אלעד,15,595,10595,2,0
בקעת אונו אלעד,15,377,11377,2,0
בקעת אונו אלעד,15,555,11555,1,0
בקעת אונו אלעד,15,2,58002,3,0
בקעת אונו אלעד,15,139,13139,2,0
בקעת אונו אלעד,15,7,22007,1,0
בקעת אונו אלעד,15,7,22007,2,0
בקעת אונו אלעד,15,37,21037,1,0
בקעת אונו אלעד,15,138,10138,2,2
בקעת אונו אלעד,15,138,10138,1,0
בקעת אונו אלעד,15,55,28055,1,1
בקעת אונו אלעד,15,444,14444,1,0
