אשכול,סניף,מס_קווים_בסניף,רגישות_בולטת,הערה
בקעת אונו,אלעד,41,חרדית — חגים יהודיים + בין הזמנים,קווי 'בין הזמנים' 271/275
בקעת אונו,אונו,24,כללית,קווים נכנסים לגוש דן — רגיש להפגנות/חסימות
בקעת אונו,חולון,14,כללית,
שרון,שרון עירוני,80,כללית,
שרון,שרון בינעירוני,40,כולל קווי 'מגזר' (אסלאם) + 'מאושר שבת',קווי המשולש; רידוד בחגי אסלאם
שרון,500,20,כללית,סניף מיניבוסים
שרון חולון מרחבי,נתניה,24,כולל קווי 'חרדים' (612-624),חגים יהודיים — תגבור
