trip_id,source_trip_id,service_day,catalog_number,sign,direction,alternative,line_id,origin_stop_id,destination_stop_id,day_offset,departure_min,arrival_min,duration_min,vehicle_type_ids,distance_km,existing_flag,custom_json,daily_passengers,weekly_passengers,avg_commuters_per_ride_weekly,low_demand_flag
69,69,unknown,58002,2,3,0,,31738,31738,0,360,400,40,urban,10.415,,,,,,True
70,70,unknown,92003,3,1,0,,31336,32742,0,360,404,44,minibus,15.095,,,,,,True
71,71,unknown,24004,4,1,0,,35629,30883,0,360,375,15,,5.001,,,,,,True
72,72,unknown,24004,4,2,0,,35628,38586,0,360,377,17,,5.075,,,,,,True
73,73,unknown,69005,5,1,0,,35629,30883,0,360,399,39,,8.079,,,,,,True
74,74,unknown,69005,5,2,0,,35628,38586,0,360,390,30,,8.724,,,,,,True
75,75,unknown,47006,6,1,0,,35629,33559,0,360,386,26,,7.56,,,,,,True
76,76,unknown,47006,6,2,0,,33559,38586,0,360,389,29,,8.583,,,,,,True
77,77,unknown,22007,7,1,0,,26806,31491,0,360,458,98,,16.573,,,,,,True
78,78,unknown,22007,7,2,0,,37538,26807,0,360,457,97,,18.29,,,,,,True
79,79,unknown,37008,8,1,0,,31345,32742,0,360,425,65,urban,19.271,,,,,,True
80,80,unknown,37008,8,2,0,,31377,34063,0,360,413,53,urban,18.924,,,,,,True
81,81,unknown,42010,10,3,0,,37538,38924,0,360,372,12,urban,4.0,,,,,,True
82,82,unknown,34015,15,1,0,,35315,31470,0,360,415,55,minibus,16.789,,,,,,True
83,83,unknown,34015,15,2,0,,31470,35335,0,360,402,42,minibus,16.538,,,,,,True
84,84,unknown,23018,18,1,0,,26945,35335,0,360,433,73,urban,17.749,,,,,,True
85,85,unknown,23018,18,2,0,,35315,26945,0,360,433,73,urban,17.291,,,,,,True
86,86,unknown,40028,28,1,0,,20789,33551,0,360,413,53,urban,16.201,,,,,,True
87,87,unknown,40028,28,2,0,,33550,20788,0,360,436,76,urban,17.273,,,,,,True
88,88,unknown,20036,36,1,0,,20277,35315,0,360,429,69,,17.54,,,,,,True
89,89,unknown,20036,36,2,0,,31313,25867,0,360,448,88,,17.287,,,,,,True
90,90,unknown,21037,37,1,0,,20001,31574,0,360,410,50,urban,18.78,,,,,,True
91,91,unknown,21037,37,2,0,,31581,27997,0,360,414,54,urban,19.037,,,,,,True
92,92,unknown,28055,55,1,0,,20277,33551,0,360,432,72,,19.716,,,,,,True
93,93,unknown,28055,55,2,0,,33550,25867,0,360,427,67,,19.063,,,,,,True
94,94,unknown,23056,56,1,0,,20277,31574,0,360,443,83,,22.068,,,,,,True
95,95,unknown,23056,56,2,0,,31052,25867,0,360,439,79,,21.135,,,,,,True
96,96,unknown,20058,58,2,0,,32771,31738,0,360,445,85,,25.071,,,,,,True
97,97,unknown,21059,59,1,0,,20001,35341,0,360,430,70,urban,18.289,,,,,,True
98,98,unknown,21059,59,2,0,,31313,27997,0,360,415,55,urban,18.79,,,,,,True
99,99,unknown,14068,68,1,0,,20277,33551,0,360,435,75,,20.409,,,,,,True
100,100,unknown,14068,68,2,0,,33550,25867,0,360,420,60,,20.664,,,,,,True
101,101,unknown,15069,69,1,0,,20001,31738,0,360,415,55,urban,14.471,,,,,,True
102,102,unknown,15069,69,2,0,,38160,27997,0,360,398,38,urban,13.999,,,,,,True
103,103,unknown,31075,75,3,0,,31481,35475,0,360,420,60,urban,17.458,,,,,,True
104,104,unknown,23076,76,1,0,,33599,35335,0,360,410,50,urban,15.827,,,,,,True
105,105,unknown,23076,76,2,0,,35315,33598,0,360,415,55,urban,15.606,,,,,,True
106,106,unknown,33077,77,1,0,,31313,31424,0,360,412,52,urban,15.935,,,,,,True
107,107,unknown,33077,77,2,0,,35377,35335,0,360,403,43,urban,15.376,,,,,,True
108,108,unknown,17078,78,1,0,,33599,35335,0,360,420,60,urban,20.953,,,,,,True
109,109,unknown,17078,78,2,0,,35315,33598,0,360,431,71,urban,20.373,,,,,,True
110,110,unknown,37085,85,1,0,,32298,32771,0,360,409,49,,23.868,,,,,,True
111,111,unknown,37085,85,2,0,,32771,31314,0,360,430,70,,23.699,,,,,,True
112,112,unknown,16115,115,1,0,,33550,25867,0,360,450,90,,17.741,,,,,,True
113,113,unknown,16115,115,2,0,,20277,33551,0,360,447,87,,17.818,,,,,,True
114,114,unknown,10137,137,2,0,,14464,15657,0,360,435,75,,9.929,,,,,,True
115,115,unknown,10138,138,1,0,,31344,39943,0,360,421,61,urban,23.767,,,,,,True
116,116,unknown,10138,138,2,0,,31685,31574,0,360,437,77,urban,25.049,,,,,,True
117,117,unknown,13139,139,1,0,,38160,39943,0,360,445,85,urban,26.142,,,,,,True
118,118,unknown,13139,139,2,0,,31685,31738,0,360,475,115,urban,26.47,,,,,,True
119,119,unknown,11168,168,1,0,,22935,33551,0,360,407,47,urban,16.738,,,,,,True
120,120,unknown,11168,168,2,0,,33550,25354,0,360,411,51,urban,15.975,,,,,,True
121,121,unknown,15173,173,1,0,,33567,31738,0,360,430,70,,29.337,,,,,,True
122,122,unknown,15173,173,2,0,,38160,39590,0,360,413,53,,28.673,,,,,,True
123,123,unknown,11179,179,1,0,,35629,33598,0,360,430,70,,23.581,,,,,,True
